id,name,popularity,duration_ms,artists,id_artists,release_date,mood,url
5Hyr47BBGpvOfcykSCcaw9,"Holding Out for a Hero - From ""Footloose"" Soundtrack",74,348333,['Bonnie Tyler'],['0SD4eZCN4Kr0wQk56hCdh2'],05-05-1986,Happy,https://open.spotify.com/track/5Hyr47BBGpvOfcykSCcaw9
198qSChSMQFuSimdeeY9gK,Vasos Vacíos - Remasterizado 2008,74,279987,['Los Fabulosos Cadillacs'],['2FS22haX3FYbyOsUAkuYqZ'],18-06-1988,Happy,https://open.spotify.com/track/198qSChSMQFuSimdeeY9gK
19Ym5Sg0YyOCa6ao21bdoG,Gypsy,74,264907,['Fleetwood Mac'],['08GQAI4eElDnROBrJRGE0X'],21-11-1988,Happy,https://open.spotify.com/track/19Ym5Sg0YyOCa6ao21bdoG
7gSQv1OHpkIoAdUiRLdmI6,I Won't Back Down,74,178360,['Tom Petty'],['2UZMlIwnkgAEDBsw1Rejkn'],01-01-1989,Happy,https://open.spotify.com/track/7gSQv1OHpkIoAdUiRLdmI6
1B75hgRqe7A4fwee3g3Wmu,U Can't Touch This,74,257360,['MC Hammer'],['2rblp9fJo16ZPTcKDtlmKW'],20-02-1990,Happy,https://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu
0uppYCG86ajpV2hSR3dJJ0,Give It Away,74,282907,['Red Hot Chili Peppers'],['0L8ExT028jH3ddEcZwqJJ5'],24-09-1991,Happy,https://open.spotify.com/track/0uppYCG86ajpV2hSR3dJJ0
6kWJvPfC4DgUpRsXKNa9z9,All That She Wants,74,211213,['Ace of Base'],['5ksRONqssB7BR161NTtJAm'],24-12-1993,Happy,https://open.spotify.com/track/6kWJvPfC4DgUpRsXKNa9z9
7H8zey5My6uNdD2TxeCb9F,Don't Speak,74,263000,['No Doubt'],['0cQbJU1aAzvbEmTuljWLlF'],10-10-1995,Happy,https://open.spotify.com/track/6urCAbunOQI4bLhmGpX7iS
46RVKt5Edm1zl0rXhPJZxz,Down Under,74,220867,['Men At Work'],['0f3EsoviYnRKTkmayI3cux'],01-02-1996,Happy,https://open.spotify.com/track/3ZZq9396zv8pcn5GYVhxUi
6hs3SDnbO3f6VQuPO4KBEb,Send Me on My Way,74,263333,['Rusted Root'],['2M3vnW1p5w4uPRkLYTbvdB'],12-11-1996,Happy,https://open.spotify.com/track/6hs3SDnbO3f6VQuPO4KBEb
2LsbizbOeNa4x6qsi2jAMb,La flaca,74,261200,['Jarabe De Palo'],['5B6H1Dq77AV1LZWrbNsuH5'],30-09-1996,Happy,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb
6sxptembJVty4sNtcPMAVz,Man! I Feel Like A Woman!,74,234493,['Shania Twain'],['5e4Dhzv426EvQe3aDb64jL'],04-11-1997,Happy,https://open.spotify.com/track/6sxptembJVty4sNtcPMAVz
4AE7Lj39VnSZNOmGH2iZaq,Do For Love,74,281600,['2Pac'],['1ZwdS5xdxEREPySFridCfh'],01-01-1997,Happy,https://open.spotify.com/track/4AE7Lj39VnSZNOmGH2iZaq
